,name,description,category
45,"Pepperoni Pizza, Double Slice","2 Slices of Pizza Topped with Fazoli's Pizza Sauce, Pepperoni and a blend of Mozzarella and Provolone Cheeses.",Pizzas
46,Ravioli,Ravioli + Sauce,Fan Favorites
47,Six Extra Breadsticks,Six Extra Signature Garlic Breadsticks,"['Family Meals/Sides + Extras', 'Sides + Extras', 'Family Meals']"
48,Smoky Bacon Breadstick Bites,A cheesy pull-apart breadstick made with Mozzarella and Chopped Bacon. Served with Smoky Gouda dipping sauce.,New Items and Specials
49,Smoky Bacon Pasta Bake,"Orecchiette pasta topped with a creamy, smoky gouda sauce and chopped bacon, then baked with gouda and mozzarella cheeses.",New Items and Specials
50,Smoky Chicken Carbonara Bake,"Spaghetti topped with smoky gouda cheese sauce, chopped bacon, blackened chicken, roasted broccoli and fire-roasted red peppers. Baked with Mozzarella and Gouda cheeses.",New Items and Specials
51,Soft Drinks,Additional beverage choices vary by location,Drinks + Desserts
52,Spaghetti,Spaghetti + Sauce,Fan Favorites
53,Spicy Penne with Chicken,"Penne covered in Spicy Tomato Pepper Sauce, with Roasted Chicken, Fresh Spinach, Crushed Calabrian Pepper, Garlic Roasted Mushroom, Mozzarella and Provolone Cheeses.",Signature Bakes
54,Spicy Sausage Penne,"Penne covered in Spicy Tomato Pepper sauce with Spicy Sausage, Garlic-Roasted Mushrooms, Fresh Spinach, Crushed Calabrian Pepper, Mozzarella and Provolone Cheeses.",Signature Bakes
55,S’mores Breadstick Bites,"Shareable dessert made from Fazoli’s breadsticks tossed in brown sugar, cinnamon, graham cracker crumbs and topped with toasted marshmallows and melted chocolate.",New Items and Specials
56,The Primo Italiano,"Genoa Salami, seasoned Capicola, and baked Ham with sliced Mozzarella, tomatoes, red onion, shredded lettuce and pepperoncini topped with Red Wine Balsamic Vinaigrette served on a toasted Garlic Roll.",Subs + Salads
57,Three Cheese Tortellini,"Tortellini Pasta stuffed with Ricotta, Parmesan, and Romano Cheeses, topped with Oven-Roasted Chicken, Bacon, Peas, and Roasted Grape Tomatoes and finished with shaved Parmesan cheese.",Specialty Pastas
58,Tortellini,Tortellini + Sauce,Fan Favorites
59,Triple Chocolate Cheesecake,Rich Dark Chocolate Cheesecake loaded with Chocolate Chips and topped with a layer of Chocolate Ganache. Served with HERSHEY'S® Chocolate Sauce.,Drinks + Desserts
60,Turkey Club Classico,"Smoked Turkey, baked Ham, Bacon, sliced Mozzarella, Tomato, Red Onion, Shredded Lettuce and Parmesan Peppercorn Ranch on a toasted Garlic Roll.",Subs + Salads
61,Twelve Extra Breadsticks,Twelve Extra Signature Garlic Breadsticks,Sides + Extras
62,Two Extra Breadsticks,Two Extra Signature Garlic Breadsticks,Sides + Extras
63,Ultimate Fettuccine,"Alfredo Sauce, Chicken, Bacon, Garlic-Roasted Mushrooms, Broccoli",Specialty Pastas
64,Ultimate Sampler,"Fettuccine Alfredo, Penne with Meat Sauce, Spaghetti and Meatball, Lasagna with Meat Sauce.",Pasta Samplers
65,Ultimate Spaghetti,"Marinara, Meatballs, Sausage, Bacon, Garlic-Roasted Mushrooms",Specialty Pastas
66,Whole Cheese Pizza,Topped with Fazoli's Pizza Sauce and a blend of Mozzarella and Provolone Cheeses. Includes 8 Breadsticks.,"['Pizzas/Vegetarian Options', 'Vegetarian Options', 'Pizzas']"
67,Whole Grain Rotini,Whole Grain Rotini + Sauce,Fan Favorites
68,Whole Pepperoni Pizza,"Topped with Fazoli's Pizza Sauce, Pepperoni and a blend of Mozzarella and Provolone Cheeses. Includes 8 Breadsticks.",Pizzas
