,category,description,city,state,country,name
10,Community,,,,,International demography course
11,School,,Tallahassee,FL,United States,FSU Center for Demography and Population Health
12,Interest,"As of October 15, 2016, the United States has a total resident population of 324,707,000, making it the third most populous country in the world. It is very urbanized, with 81% residing in cities and suburbs as of 2014 (the worldwide urban rate is 54%). California and Texas are the most populous states, as the mean center of U.S. population has consistently shifted westward and southward. New York City is the most populous city in the United States.The total fertility rate in the United States estimated for 2015 is 1.84 children per woman, which is below the replacement fertility rate of approximately 2.1. Compared to other Western countries, in 2012, U.S. fertility rate was lower than that of France (2.01), Australia (1.93) and the United Kingdom (1.92). However, U.S. population growth is among the highest in industrialized countries, because the differences in fertility rates are less than the differences in immigration levels, which are higher in the U.S. The United States Census Bureau shows a population increase of 0.75% for the twelve-month period ending in July 2012. Though high by industrialized country standards, this is below the world average annual rate of 1.1%.",,,,Demography of the United States
13,Education,"Der Arbeitskreis ""Junior Research Group Demography"" hat das Ziel die Zusammenarbeit junger Wissenschaftler aus dem Forschungsbereich der Demographie und den interdisziplinären Anschlussbereichen zu fördern und die Sichtbarkeit der DGD gerade bei jungen Forschern zu erhöhen. Dies schließt die inhaltliche Zusammenarbeit und Vernetzung zwischen Personen, Gruppen und Instituten auf nationaler und internationaler Ebene ein.  Dazu sollen Tagungen und Workshops in wechselnder Kooperation mit Universitäten und wissenschaftlichen Instituten durchgeführt werden. Der thematische Fokus erstreckt über alle Teilaspekte der Demographie (Fertilität, Migration, Mortalität, formale Demographie) und deren interdisziplinäre Anschlussfelder. Um den wissenschaftlichen Nachwuchs zu fördern, sollen zudem weitere wissenschaftliche Präsentationsformate (z.B. Poster) im Rahmen von Tagungen und Workshops etabliert werden, die es jungen Wissenschaftlern und Studierenden ermöglichen, auch erste (Teil-)Ergbnisse von Dissertationen, Abschlussarbeiten und kleineren Projekten vorzustellen. Neben der Vernetzung soll die universitäre Ausbildung im Bereich der Demographie im Fokus des Arbeitskreises stehen. Unsere Zielgruppe ist dabei weder auf das tatsächliche noch auf das akademische Alter beschränkt. 

The Working Group ""Junior Research Group Demography"" promotes the collaboration of young researchers from the scientific discipline of demography and its related research areas. The visibility of the DGD (Deutsche Gesellschaft für Demographie) should be enhanced, especially among young researchers. Therefore networks are established and cooperation as regards content between individuals, groups and research institutions at the national and international level will be supported. For this purpose the Working Group organizes conferences and workshops in alternating cooperation with universities and research institutes. All aspects of demographic research (fertility, migration, mortality, formal demography) and their related research areas are covered. Alternative formats of presentation (e.g. posters) are intended to be established on conferences and workshops to enable young researchers to present preliminary or partial results from dissertation projects, degree theses and smaller projects. Besides networking, another focus of the Working Group is on university training in demography. Our target group is neither limited to the actual age nor to the academic age. ",,,,Junior Research Group Demography
14,Photographer,,Port-au-Prince,,Haiti,DemoGraphy
15,Magazine,"Demography is a bimonthly peer-reviewed academic journal covering issues related to population and demography. It is an official journal of the Population Association of America and is published on their behalf by Springer Science+Business Media. The editors are John D. Iceland, Stephen A. Matthews, and Jennifer Van Hook (The Pennsylvania State University).HistoryThe journal was established in 1964. The publication has become more frequent in recent years:  1964-1965: Published once a year 1966-1968: Published twice a year 1969-2012: Published four times a year (with the exception of 2010, where there were five issues, one of which was a special supplement) 2013 onward: Published six times a yearAccessibilityMembers of the Population Association of America receive electronic and print copies of the journal. It is also possible for individuals and institutions to subscribe to the journal through Springer Science+Business Media. Online subscribers can also access electronic versions of articles that have not yet been assigned to a print issue of the journal.All issues of the journal are available via JSTOR, and Project MUSE. For both, issues up to 2 years old are available via subscriptions to the respective services, whereas more recent issues are available only via a subscription to the journal.Authors have the option of making their work available open access by paying a fee.",,,,Demography (journal)
16,Community,*Image of Mobile Analytics under CC-licesnce by Roman Kovbasyuk from The Noun Project.,,,,Digitizing Demography 2014 ASA Preconference - Aug 15th
17,Community,,,,,Critical Demography Association
18,Organization,"Our major focus is continuing a long-term demographic study at Hakalau Forest NWR, with the goal of gathering demographic estimates for native and non-native forest birds. Three of these species are endangered (Akepa, Akiapola'au, and Hawai'i Creeper) and a 4th is likely to be listed as endangered in the coming years (I'iwi). Ultimately, this research will give us information to estimate survivorship, productivity, and movement which are the key components for understanding population dynamics. These demographic parameters will then be compared with past studies to determine if there have been changes over time. This information is also critical for building ecological models that allow us to evaluate future threats to birds and determine the effectiveness of certain management actions. Here is a link to a report on the first two years of the productivity (nest monitoring) study, which explains some of the preliminary findings: http://hilo.hawaii.edu/hcsu/documents/HCSU_TR56_Paxton_Hakalau_Productivity.pdf",,,,Hawaii Forest Bird Demography Project
19,Interest,"The demographic features of the population of Japan include population density, ethnicity, education level, health of the populace, economic status, religious affiliations and other aspects regarding the population.Based on the census from October 2010, Japan's population was at one of its peaks – 128,057,352. As of 2015 the population estimate was 127,110,000 making it the world's tenth-most populous country at the time. Mexico's population was slightly less than Japan's in 2015, with projections suggesting Mexico will soon pass Japan. Current statistics do not indicate much difference in population numbers. Japan's population size can be attributed to high growth rates experienced during the late 19th and early 20th centuries.Since 2010, Japan has experienced net population loss due to falling birth rates and almost no immigration, despite having one of the highest life expectancies in the world at 81.25 years of age as of 2006. Using the annual estimate for October of each year, the population peaked in 2008 at 128,083,960 and had fallen 285,256 by October 2011. Japan's population density was 336 people per square kilometer.Based on 2012 data from the National Institute of Population and Social Security Research, Japan's population will keep declining by about one million people every year in the coming decades, which will leave Japan with a population of 42 million in 2110. By that time, more than 40% of the population is expected to be over age 65 in 2060. In 2012, the population had for six consecutive years declined by 212,000, the largest drop on record since 1947 and also a record low of 1.03 million births. In 2014, a new record of population drop happened with 268,000 people. In 2013, more than 20 percent of the population are age 65 and over.",,,,Demography of Japan
